INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
The Oculina Bank,Ft. Pierce,Florida,FL,2012,7,3,20123,2014,2,1,20141,Formal Agreements,717955,,,"Ft. Pierce, FL",0,7/18/2012 12:00:00 AM -04:00,2012-189,2/6/2014 12:00:00 AM -05:00,2014-023,
The Old Exchange National Bank of Okawville,Okawville,Illinois,IL,2000,3,1,20001,2001,4,2,20012,Formal Agreements,11780,,,"Okawville, IL",0,3/14/2000 12:00:00 AM -05:00,2000-15,4/5/2001 12:00:00 AM -04:00,2001-23,
The Otoe County National Bank & Trust Company,Nebraska City,Nebraska,NE,1989,12,4,19894,1998,3,1,19981,Cease & Desist Orders,1417,,,"Nebraska City, NE",0,12/1/1989 12:00:00 AM -05:00,964,3/18/1998 12:00:00 AM -05:00,98-21,
"The Pacific Bank, National Association",San Francisco,California,CA,1993,2,1,19931,1995,9,3,19953,Cease & Desist Orders,17917,,,"San Francisco, CA",0,2/22/1993 12:00:00 AM -05:00,93-25,9/7/1995 12:00:00 AM -04:00,95-63,
The Palisades National Bank,Palisade,Colorado,CO,2001,3,1,20011,2001,8,3,20013,Formal Agreements,8004,,,"Palisade, CO",0,3/29/2001 12:00:00 AM -05:00,2001-20,8/23/2001 12:00:00 AM -04:00,2001-73,
"The Park Avenue Bank, N.A.",New York,New York,NY,2001,11,4,20014,2003,1,1,20031,Formal Agreements,20962,,,"New York, NY",0,11/2/2001 12:00:00 AM -05:00,2001-115,1/31/2003 12:00:00 AM -05:00,2003-28,
"The Park Avenue Bank, National Association",New York,New York,NY,2000,1,1,20001,,,,,Bank Civil Money Penalties,20962,,,"New York, NY",55000,1/4/2000 12:00:00 AM -05:00,Jan-00,,,
"The Park Avenue Bank, National Association",New York,New York,NY,2003,1,1,20031,2003,12,4,20034,Cease & Desist Orders,20962,,,"New York, NY",0,1/31/2003 12:00:00 AM -05:00,2003-28,12/31/2003 12:00:00 AM -05:00,,
The Park National Bank,Newark,Ohio,OH,2011,12,4,20114,,,,,Bank Civil Money Penalties,9179,,,"Newark, OH",30415,12/8/2011 12:00:00 AM -05:00,2011-179,,,AA-CE-11-94
The Peoples National Bank,Easley,South Carolina,SC,2010,8,3,20103,,,,,Formal Agreements,21037,,,"Easley, SC",0,8/16/2010 12:00:00 AM -04:00,2010-193,,,
The Peoples National Bank of Lebanon,Lebanon,Pennsylvania,PA,1992,3,1,19921,1992,12,4,19924,Formal Agreements,4955,,,"Lebanon, PA",0,3/24/1992 12:00:00 AM -05:00,496,12/4/1992 12:00:00 AM -05:00,,
The Peoples National Bank Of Warrenton,Warrenton,Virginia,VA,1991,10,4,19914,1993,10,4,19934,Formal Agreements,9642,,,"Warrenton, VA",0,10/15/1991 12:00:00 AM -04:00,467,10/13/1993 12:00:00 AM -04:00,93-249,
The Pioneer National Bank Of Duluth,Duluth,Minnesota,MN,2001,6,2,20012,2002,6,2,20022,Formal Agreements,13078,,,"Duluth, MN",0,6/28/2001 12:00:00 AM -04:00,2001-81,6/5/2002 12:00:00 AM -04:00,2002-141,
The Planters National Bank of Rosebud,Rosebud,Texas,TX,1990,8,3,19903,1993,2,1,19931,Cease & Desist Orders,8066,,,"Rosebud, TX",0,8/9/1990 12:00:00 AM -04:00,125,2/25/1993 12:00:00 AM -05:00,,
The Private Bank Of Coral Gables,Coral Gables,Florida,FL,1991,9,3,19913,,,,,Bank Civil Money Penalties,20455,,,"Coral Gables, FL",4500,9/27/1991 12:00:00 AM -04:00,553,,,AA-EC-91-177
The Putnam County National Bank of Carmel,Carmel,New York,NY,2012,4,2,20122,2016,6,2,20162,Formal Agreements,976,,,"Carmel, NY",0,4/4/2012 12:00:00 AM -04:00,2012-100,6/29/2016 12:00:00 AM -04:00,2016-073,
The Putnam County National Bank of Carmel,Carmel,New York,NY,2006,7,3,20063,2007,12,4,20074,Formal Agreements,976,,,"Carmel, NY",0,7/12/2006 12:00:00 AM -04:00,2006-76,12/5/2007 12:00:00 AM -05:00,2007-145,
The Ramsey National Bank And Trust Co. Of Devils Lake,Devils Lake,North Dakota,ND,1992,3,1,19921,1994,8,3,19943,Formal Agreements,5886,,,"Devils Lake, ND",0,3/22/1992 12:00:00 AM -05:00,495,8/9/1994 12:00:00 AM -04:00,94-259,
The Rappahannock National Bank Of Washington,Washington,Virginia,VA,1990,12,4,19904,1992,5,2,19922,Cease & Desist Orders,6443,,,"Washington, VA",0,12/13/1990 12:00:00 AM -05:00,137,5/14/1992 12:00:00 AM -04:00,606,
The Rawlins National Bank,Rawlins,Wyoming,WY,1991,9,3,19913,,,,,Bank Civil Money Penalties,5413,,,"Rawlins, WY",1800,9/18/1991 12:00:00 AM -04:00,559,,,
The Ripley National Bank,Ripley,Ohio,OH,2004,4,2,20042,2005,1,1,20051,Cease & Desist Orders,2837,,,"Ripley, OH",0,4/20/2004 12:00:00 AM -04:00,2004-33,1/10/2005 12:00:00 AM -05:00,5-Sep,
The Rushville National Bank,Rushville,Indiana,IN,1991,6,2,19912,1992,12,4,19924,Cease & Desist Orders,1456,,,"Rushville, IN",0,6/27/1991 12:00:00 AM -04:00,356,12/18/1992 12:00:00 AM -05:00,,
The Savannah Bank National Association,Savannah,Georgia,GA,2011,10,4,20114,,,,,Formal Agreements,22152,,,"Savannah, GA",0,10/5/2011 12:00:00 AM -04:00,2011-156,,,
The Shattuck National Bank,Shattuck,Oklahoma,OK,2009,11,4,20094,2010,10,4,20104,Formal Agreements,9987,,,"Shattuck, OK",0,11/18/2009 12:00:00 AM -05:00,2009-243,10/27/2010 12:00:00 AM -04:00,2010-270,
The Slocomb National Bank,Slocomb,Alabama,AL,2010,8,3,20103,2012,8,3,20123,Formal Agreements,7940,,,"Slocomb, AL",0,8/10/2010 12:00:00 AM -04:00,2010-170,8/31/2012 12:00:00 AM -04:00,2012-221,
The Somerville National Bank,Somerville,Ohio,OH,2016,3,1,20161,2017,2,1,20171,Cease & Desist Orders,9859,,,"Somerville, OH",0,3/29/2016 12:00:00 AM -04:00,2016-036,2/2/2017 12:00:00 AM -05:00,2017-025,AA-CE-2016-18
The Somerville National Bank,Somerville,Ohio,OH,2014,5,2,20142,,,,,Bank Civil Money Penalties,9859,,,"Somerville, OH",8770,5/29/2014 12:00:00 AM -04:00,2014-063,,,AA-CE-2014-58
The Somerville National Bank,Somerville,Ohio,OH,2013,6,2,20132,2016,3,1,20161,Formal Agreements,9859,,,"Somerville, OH",0,6/12/2013 12:00:00 AM -04:00,2013-076,3/29/2016 12:00:00 AM -04:00,2016-036,
The Somerville National Bank,Somerville,Ohio,OH,2003,6,2,20032,2005,1,1,20051,Formal Agreements,9859,,,"Somerville, OH",0,6/3/2003 12:00:00 AM -04:00,2003-74,1/19/2005 12:00:00 AM -05:00,5-Aug,
The State National Bank of Garfield,Garfield,Washington,WA,2001,7,3,20013,2002,11,4,20024,Formal Agreements,12231,,,"Garfield, WA",0,7/17/2001 12:00:00 AM -04:00,2001-58,11/18/2002 12:00:00 AM -05:00,2002-127,
The State National Bank Of Garfield,Garfield,Washington,WA,1995,7,3,19953,1997,1,1,19971,Cease & Desist Orders,12231,,,"Garfield, WA",0,7/17/1995 12:00:00 AM -04:00,95-42,1/10/1997 12:00:00 AM -05:00,96-80,
The State National Bank of Heavener,Heavener,Oklahoma,OK,1999,1,1,19991,2000,9,3,20003,Formal Agreements,10239,,,"Heavener, OK",0,1/12/1999 12:00:00 AM -05:00,99-64,9/13/2000 12:00:00 AM -04:00,,
The Suffolk County National Bank of Riverhead,Riverhead,New York,NY,2010,10,4,20104,2013,5,2,20132,Formal Agreements,4230,,,"Riverhead, NY",0,10/25/2010 12:00:00 AM -04:00,2010-228,5/29/2013 12:00:00 AM -04:00,2013-084,
The Summit National Bank,Atlanta,Georgia,GA,2006,1,1,20061,2007,1,1,20071,Cease & Desist Orders,21484,,,"Atlanta, GA",0,1/19/2006 12:00:00 AM -05:00,6-Feb,1/16/2007 12:00:00 AM -05:00,2007-031,
The University National Bank of Lawrence,Lawrence,Kansas,KS,2009,5,2,20092,2013,2,1,20131,Formal Agreements,22241,,,"Lawrence, KS",0,5/27/2009 12:00:00 AM -04:00,2009-068,2/28/2013 12:00:00 AM -05:00,2013-016,
The Upstate National Bank,Lisbon,New York,NY,2002,3,1,20021,2004,11,4,20044,Cease & Desist Orders,12018,,,"Lisbon, NY",0,3/22/2002 12:00:00 AM -05:00,2002-38,11/4/2004 12:00:00 AM -05:00,2004-160,
The Upstate National Bank,Lisbon,New York,NY,2009,2,1,20091,2014,2,1,20141,Cease & Desist Orders,12018,,,"Lisbon, NY",0,2/12/2009 12:00:00 AM -05:00,2009-036,2/26/2014 12:00:00 AM -05:00,2014-043,
The Upstate National Bank,Lisbon,New York,NY,2008,6,2,20082,2009,2,1,20091,Cease & Desist Orders,12018,,,"Lisbon, NY",0,6/24/2008 12:00:00 AM -04:00,2008-057,2/12/2009 12:00:00 AM -05:00,2009-036,
The Upstate National Bank,Lisbon,New York,NY,2004,11,4,20044,2006,3,1,20061,Cease & Desist Orders,12018,,,"Lisbon, NY",0,11/4/2004 12:00:00 AM -05:00,2004-154,3/22/2006 12:00:00 AM -05:00,2006-28,
The White Hall National Bank,White Hall,Illinois,IL,2001,5,2,20012,2003,2,1,20031,Formal Agreements,7077,,,"White Hall, IL",0,5/22/2001 12:00:00 AM -04:00,2001-33,2/28/2003 12:00:00 AM -05:00,2003-30,
Theodore Roosevelt National Bank,Washington,District of Columbia,DC,1991,8,3,19913,1992,3,1,19921,Cease & Desist Orders,21647,,,"Washington, DC",0,8/12/1991 12:00:00 AM -04:00,336,3/26/1992 12:00:00 AM -05:00,,
Thomasville National Bank,Thomasville,Georgia,GA,2007,5,2,20072,,,,,Bank Civil Money Penalties,22883,,,"Thomasville, GA",500,5/18/2007 12:00:00 AM -04:00,2007-048,,,AA-SO-07-XX
TIAA-CREF  Trust Company FSB,St. Louis,Missouri,MO,2013,6,2,20132,2015,10,4,20154,Cease & Desist Orders,715018,,,"St. Louis, MO",0,6/28/2013 12:00:00 AM -04:00,2013-071,10/9/2015 12:00:00 AM -04:00,2015-117,AA-NE-2013-44
"Tomatobank, National Association",Diamond Bar,California,CA,2008,11,4,20084,2013,11,4,20134,Cease & Desist Orders,23999,,,"Diamond Bar, CA",0,11/19/2008 12:00:00 AM -05:00,2008-149,11/4/2013 12:00:00 AM -05:00,2013-184,
Town-Country National Bank,Camden,Alabama,AL,2004,1,1,20041,2006,4,2,20062,Formal Agreements,16708,,,"Camden, AL",0,1/28/2004 12:00:00 AM -05:00,4-Apr,4/26/2006 12:00:00 AM -04:00,2006-38,
Traders National Bank,Tullahoma,Tennessee,TN,2011,6,2,20112,2013,9,3,20133,Formal Agreements,4020,,,"Tullahoma, TN",0,6/9/2011 12:00:00 AM -04:00,2011-098,9/12/2013 12:00:00 AM -04:00,2013-157,
Trans Pacific National Bank,San Francisco,California,CA,1992,12,4,19924,1994,9,3,19943,Formal Agreements,18358,,,"San Francisco, CA",0,12/17/1992 12:00:00 AM -05:00,782,9/8/1994 12:00:00 AM -04:00,94-162,
Trans Pacific National Bank,San Francisco,California,CA,2010,6,2,20102,2014,2,1,20141,Cease & Desist Orders,18358,,,"San Francisco, CA",0,6/16/2010 12:00:00 AM -04:00,2010-133,2/10/2014 12:00:00 AM -05:00,2014-020,AA-WE-10-64
TransAlliance Joint Venture (EDS),Bellevue,Washington,WA,1999,5,2,19992,,,,,Formal Agreements,600113,"TransAlliance, L.P.",,"Bellevue, WA",0,5/18/1999 12:00:00 AM -04:00,99-129,,,
"Treasury Bank, Llc",Washington,District of Columbia,DC,1999,10,4,19994,2001,5,2,20012,Formal Agreements,21213,,,"Washington, DC",0,10/3/1999 12:00:00 AM -04:00,99-71,5/31/2001 12:00:00 AM -04:00,2001-55,
Tri-County National Bank,Corbin,Kentucky,KY,1992,9,3,19923,1993,6,2,19932,Formal Agreements,20068,,,"Corbin, KY",0,9/14/1992 12:00:00 AM -04:00,705,6/16/1993 12:00:00 AM -04:00,93-197,
"Triad Bank, N.A.",Tulsa,Oklahoma,OK,1992,2,1,19921,1994,3,1,19941,Cease & Desist Orders,17926,,,"Tulsa, OK",0,2/25/1992 12:00:00 AM -05:00,481,3/17/1994 12:00:00 AM -05:00,94-54,
Trustco Bank,Glenville,New York,NY,2015,7,3,20153,,,,,Formal Agreements,707635,,,"Glenville, NY",0,7/21/2015 12:00:00 AM -04:00,2015-085,,,
"Trustco Bank, National Association",Town of Glenville (Scotia),New York,NY,2002,8,3,20023,2002,11,4,20024,Formal Agreements,22844,,,"Town of Glenville (Scotia), NY",0,8/22/2002 12:00:00 AM -04:00,2002-72,11/15/2002 12:00:00 AM -05:00,,
Trustmark National Bank,Jackson,Mississippi,MS,1991,8,3,19913,1993,2,1,19931,Formal Agreements,10523,,,"Jackson, MS",0,8/20/1991 12:00:00 AM -04:00,362,2/8/1993 12:00:00 AM -05:00,93-58,
Trustmark National Bank,Jackson,Mississippi,MS,2012,4,2,20122,,,,,Bank Civil Money Penalties,10523,,,"Jackson, MS",6250,4/2/2012 12:00:00 AM -04:00,2012-068,,,AA-SO-12-42
Tulsa National Bank,Tulsa,Oklahoma,OK,2012,2,1,20121,2012,12,4,20124,Formal Agreements,18427,,,"Tulsa, OK",0,2/28/2012 12:00:00 AM -05:00,2012-075,12/17/2012 12:00:00 AM -05:00,2012-272,
Tupper Lake National Bank,Tupper Lake,New York,NY,1992,4,2,19922,1993,12,4,19934,Formal Agreements,8153,,,"Tupper Lake, NY",0,4/29/1992 12:00:00 AM -04:00,848,12/21/1993 12:00:00 AM -05:00,93-319,
Turtle Creek National Bank,Dallas,Texas,TX,1991,6,2,19912,1993,11,4,19934,Formal Agreements,17902,,,"Dallas, TX",0,6/25/1991 12:00:00 AM -04:00,312,11/17/1993 12:00:00 AM -05:00,93-301,
Tuscola National Bank,Tuscola,Illinois,IL,2002,3,1,20021,2005,1,1,20051,Formal Agreements,14434,,,"Tuscola, IL",0,3/20/2002 12:00:00 AM -05:00,2002-17,1/14/2005 12:00:00 AM -05:00,2005-26,
U.S. Bank National Association,Cincinnati,Ohio,OH,2017,8,3,20173,,,,,Bank Civil Money Penalties,24,,,"Cincinnati, OH",183920,8/16/2017 12:00:00 AM -04:00,2017-065,,,
U.S. Bank National Association,Cincinnati,Ohio,OH,2017,4,2,20172,,,,,Bank Civil Money Penalties,24,,,"Cincinnati, OH",15000000,4/25/2017 12:00:00 AM -04:00,2017-033,,,AA-EC-2017-12
U.S. Bank National Association,Cincinnati,Ohio,OH,2016,2,1,20161,,,,,Bank Civil Money Penalties,24,,,"Cincinnati, OH",10000000,2/8/2016 12:00:00 AM -05:00,2016-008,,,AA-EC-2016-10
U.S. Bank National Association,Cincinnati,Ohio,OH,2015,10,4,20154,,,,,Cease & Desist Orders,24,,,"Cincinnati, OH",0,10/23/2015 12:00:00 AM -04:00,2015-113,,,AA-EC-2015-77
U.S. Bank National Association,Cincinnati,Ohio,OH,2015,6,2,20152,2016,2,1,20161,Cease & Desist Orders,24,,,"Cincinnati, OH",0,6/16/2015 12:00:00 AM -04:00,2015-066,2/8/2016 12:00:00 AM -05:00,2016-005,AA-EC-11-18
U.S. Bank National Association,Cincinnati,Ohio,OH,2014,9,3,20143,,,,,Bank Civil Money Penalties,24,,,"Cincinnati, OH",4000000,9/24/2014 12:00:00 AM -04:00,2014-115,,,AA-EC-2014-37
U.S. Bank National Association,Cincinnati,Ohio,OH,2014,9,3,20143,2016,6,2,20162,Cease & Desist Orders,24,,,"Cincinnati, OH",0,9/24/2014 12:00:00 AM -04:00,2014-114,6/21/2016 12:00:00 AM -04:00,2016-067,AA-EC-2014-36
U.S. Bank National Association,Cincinnati,Ohio,OH,2013,2,1,20131,2016,2,1,20161,Cease & Desist Orders,24,,,"Cincinnati, OH",0,2/28/2013 12:00:00 AM -05:00,2013-128,2/8/2016 12:00:00 AM -05:00,2016-005,
U.S. Bank National Association,Cincinnati,Ohio,OH,2011,4,2,20112,2016,2,1,20161,Cease & Desist Orders,24,,,"Cincinnati, OH",0,4/13/2011 12:00:00 AM -04:00,2011-049,2/8/2016 12:00:00 AM -05:00,2016-005,AA-EC-11-18
U.S. Bank National Association,Cincinnati,Ohio,OH,2006,10,4,20064,,,,,Bank Civil Money Penalties,24,,,"Cincinnati, OH",125000,10/18/2006 12:00:00 AM -04:00,2006-127,,,AA-EC-06-84
U.S. Bank National Association ND,Fargo,North Dakota,ND,2013,2,1,20131,2013,5,2,20132,Cease & Desist Orders,23446,,,"Fargo, ND",0,2/28/2013 12:00:00 AM -05:00,2013-128,5/13/2013 12:00:00 AM -04:00,,
U.S. Bank National Association ND,Fargo,North Dakota,ND,2011,4,2,20112,2013,5,2,20132,Cease & Desist Orders,23446,,,"Fargo, ND",0,4/13/2011 12:00:00 AM -04:00,2011-049,5/13/2013 12:00:00 AM -04:00,,AA-EC-11-18
U.S. National Bank Of Clayton,St. Louis,Missouri,MO,1990,12,4,19904,1994,3,1,19941,Formal Agreements,21552,,,"St. Louis, MO",0,12/5/1990 12:00:00 AM -05:00,150,3/29/1994 12:00:00 AM -05:00,776,
UBS Ag,New York,New York,NY,2017,3,1,20171,,,,,Formal Agreements,80113,,,"New York, NY",0,3/24/2017 12:00:00 AM -04:00,2017-030,,,
UBS AG Stamford Br,Stamford,Connecticut,CT,2017,6,2,20172,,,,,Cease & Desist Orders,80135,,,"Stamford, CT",0,6/5/2017 12:00:00 AM -04:00,2017-042,,,AA-EC-2017-17
"UMB Bank, National Association",Kansas City,Missouri,MO,2017,8,3,20173,,,,,Bank Civil Money Penalties,23920,,,"Kansas City, MO",1500000,8/1/2017 12:00:00 AM -04:00,2017-063,,,AA-EC-2017-15
"UMB Bank, National Association",Kansas City,Missouri,MO,2017,8,3,20173,,,,,Cease & Desist Orders,23920,,,"Kansas City, MO",0,8/1/2017 12:00:00 AM -04:00,2017-052,,,AA-EC-2017-16
"Union Bank Of Arizona, Na",Gilbert,Arizona,AZ,2001,6,2,20012,2004,5,2,20042,Formal Agreements,23330,,,"Gilbert, AZ",0,6/28/2001 12:00:00 AM -04:00,2001-49,5/13/2004 12:00:00 AM -04:00,2004-76,
"Union Bank of Arizona, National Association",Gilbert,Arizona,AZ,2002,7,3,20023,2004,2,1,20041,Cease & Desist Orders,23330,,,"Gilbert, AZ",0,7/31/2002 12:00:00 AM -04:00,2002-88,2/24/2004 12:00:00 AM -05:00,2004-29,
"Union Bank Of California, National Association",San Francisco,California,CA,1992,1,1,19921,,,,,Bank Civil Money Penalties,21541,,,"San Francisco, CA",25000,1/15/1992 12:00:00 AM -05:00,975,,,
"Union Bank of California, National Association",San Francisco,California,CA,2007,9,3,20073,,,,,Bank Civil Money Penalties,21541,,,"San Francisco, CA",10000000,9/14/2007 12:00:00 AM -04:00,2007-110,,,AA-EC-07-58
"Union Bank of California, National Association",San Francisco,California,CA,2007,9,3,20073,2008,9,3,20083,Cease & Desist Orders,21541,,,"San Francisco, CA",0,9/14/2007 12:00:00 AM -04:00,2007-110,9/25/2008 12:00:00 AM -04:00,2008-124,AA-EC-07-58
"Union Bank, National Association",Gilbert,Arizona,AZ,2008,8,3,20083,2009,8,3,20093,Cease & Desist Orders,23330,,,"Gilbert, AZ",0,8/14/2008 12:00:00 AM -04:00,2008-092,8/14/2009 12:00:00 AM -04:00,,
Union Chelsea National Bank,New York,New York,NY,1991,11,4,19914,1994,11,4,19944,Formal Agreements,16629,,,"New York, NY",0,11/12/1991 12:00:00 AM -05:00,410,11/17/1994 12:00:00 AM -05:00,94-276,
Union National Bank,Albany,New York,NY,1990,12,4,19904,1992,12,4,19924,Formal Agreements,963,,,"Albany, NY",0,12/20/1990 12:00:00 AM -05:00,141,12/31/1992 12:00:00 AM -05:00,,
Union National Bank,Austin,Texas,TX,1990,5,2,19902,,,,,Bank Civil Money Penalties,13958,,,"Austin, TX",500,5/24/1990 12:00:00 AM -04:00,73,,,
Union National Bank,Elgin,Illinois,IL,2010,4,2,20102,2016,3,1,20161,Cease & Desist Orders,7236,,,"Elgin, IL",0,4/22/2010 12:00:00 AM -04:00,2010-071,3/2/2016 12:00:00 AM -05:00,2016-032,AA-EC-10-37
"Union National Bank Of Arkansas, Little Rock, Arkansas",Little Rock,Arkansas,AR,1990,5,2,19902,,,,,Bank Civil Money Penalties,13958,,,"Little Rock, AR",500,5/24/1990 12:00:00 AM -04:00,76,,,
Union National Bank Of Oklahoma,Temple,Oklahoma,OK,1990,5,2,19902,,,,,Bank Civil Money Penalties,21391,,,"Temple, OK",500,5/24/1990 12:00:00 AM -04:00,74,,,
Union National Community Bank,Lancaster,Pennsylvania,PA,2009,8,3,20093,2011,12,4,20114,Formal Agreements,1516,,,"Lancaster, PA",0,8/27/2009 12:00:00 AM -04:00,2009-249,12/22/2011 12:00:00 AM -05:00,2011-200,
"United Americas Bank, National Association",Atlanta,Georgia,GA,2010,10,4,20104,2010,12,4,20104,Cease & Desist Orders,23781,,,"Atlanta, GA",0,10/7/2010 12:00:00 AM -04:00,2010-210,12/17/2010 12:00:00 AM -05:00,,AA-EC-10-85
"United Americas Bank, National Association",Atlanta,Georgia,GA,2005,2,1,20051,2005,11,4,20054,Cease & Desist Orders,23781,,,"Atlanta, GA",0,2/23/2005 12:00:00 AM -05:00,2005-19,11/17/2005 12:00:00 AM -05:00,2005-160,
"United Americas Bank, National Association",Atlanta,Georgia,GA,2016,4,2,20162,,,,,Notices Filed,23781,,William R. Blanton,"Atlanta, GA",0,4/4/2016 12:00:00 AM -04:00,N16-001,,,AA-EC-2015-24
"United Americas Bank, National Association",Atlanta,Georgia,GA,2015,6,2,20152,,,,,Notices Filed,23781,,William R. Blanton,"Atlanta, GA",0,6/30/2015 12:00:00 AM -04:00,N15-001,,,AA-EC-2015-24
"United Arizona Bank, National Association",Cave Creek,Arizona,AZ,2003,11,4,20034,2005,4,2,20052,Formal Agreements,23969,,,"Cave Creek, AZ",0,11/20/2003 12:00:00 AM -05:00,2003-154,4/25/2005 12:00:00 AM -04:00,,
United Bank,Springdale,Arkansas,AR,2012,4,2,20122,2013,10,4,20134,Cease & Desist Orders,707756,,,"Springdale, AR",0,4/19/2012 12:00:00 AM -04:00,2012-091,10/30/2013 12:00:00 AM -04:00,2013-183,
United Bank,Springdale,Arkansas,AR,2010,11,4,20104,2012,4,2,20122,Cease & Desist Orders,707756,,,"Springdale, AR",0,11/19/2010 12:00:00 AM -05:00,WN 10-034,4/19/2012 12:00:00 AM -04:00,2012-282,
United Bank For Africa PLC,New York,New York,NY,2008,4,2,20082,,,,,Bank Civil Money Penalties,80082,,,"New York, NY",15000000,4/22/2008 12:00:00 AM -04:00,2008-029,,,AA-EC-08-11
United Bank For Africa PLC,New York,New York,NY,2008,2,1,20081,2016,7,3,20163,Cease & Desist Orders,80082,,,"New York, NY",0,2/29/2008 12:00:00 AM -05:00,2008-007,7/28/2016 12:00:00 AM -04:00,2016-074,AA-EC-08-07
United Bank For Africa PLC,New York,New York,NY,2007,5,2,20072,,,,,Bank Civil Money Penalties,80082,,,"New York, NY",500000,5/2/2007 12:00:00 AM -04:00,2007-039,,,AA-EC-07-23
United Bank For Africa PLC,New York,New York,NY,2007,1,1,20071,2008,2,1,20081,Cease & Desist Orders,80082,,,"New York, NY",0,1/18/2007 12:00:00 AM -05:00,2007-003,2/29/2008 12:00:00 AM -05:00,2008-007,
"United Bank For Africa, Plc",New York,New York,NY,1994,1,1,19941,1995,1,1,19951,Formal Agreements,80082,,,"New York, NY",0,1/31/1994 12:00:00 AM -05:00,94-26,1/23/1995 12:00:00 AM -05:00,95-117,
"United Bank Of Absarokee, N.A.",Absarokee,Montana,MT,1992,10,4,19924,1993,5,2,19932,Formal Agreements,15091,,,"Absarokee, MT",0,10/26/1992 12:00:00 AM -05:00,727,5/12/1993 12:00:00 AM -04:00,93-143,
"United Bank Of Cherry Creek, N.A.",Denver,Colorado,CO,1990,7,3,19903,,,,,Bank Civil Money Penalties,17361,,,"Denver, CO",2400,7/31/1990 12:00:00 AM -04:00,1017,,,AA-EC-90-108
"United Bank Of Monaco, N.A",Denver,Colorado,CO,1990,7,3,19903,,,,,Bank Civil Money Penalties,16475,,,"Denver, CO",2400,7/18/1990 12:00:00 AM -04:00,101,,,AA-EC-90-112
"United Bank, N.A.",Lancaster,Texas,TX,1992,2,1,19921,1993,3,1,19931,Cease & Desist Orders,11423,,,"Lancaster, TX",0,2/18/1992 12:00:00 AM -05:00,482,3/18/1993 12:00:00 AM -05:00,,
"United Banks, National Association",Absarokee,Montana,MT,2008,3,1,20081,2011,7,3,20113,Formal Agreements,15091,,,"Absarokee, MT",0,3/7/2008 12:00:00 AM -05:00,2008-020,7/21/2011 12:00:00 AM -04:00,2011-113,
United Citizens National Bank,Los Angeles,California,CA,1993,6,2,19932,1996,2,1,19961,Formal Agreements,21669,,,"Los Angeles, CA",0,6/24/1993 12:00:00 AM -04:00,93-179,2/11/1996 12:00:00 AM -05:00,96-24,
United Community Bank,Lawrenceburg,Indiana,IN,2013,9,3,20133,,,,,Bank Civil Money Penalties,703767,,,"Lawrenceburg, IN",1925,9/30/2013 12:00:00 AM -04:00,2013-145,,,AA-CE-13-77
"United Community Bank, National Association",Highland Village,Texas,TX,2009,6,2,20092,2012,8,3,20123,Formal Agreements,23545,,,"Highland Village, TX",0,6/11/2009 12:00:00 AM -04:00,2009-094,8/15/2012 12:00:00 AM -04:00,2012-227,
United Credit National Bank,Sioux Falls,South Dakota,SD,2000,6,2,20002,2001,1,1,20011,Cease & Desist Orders,23116,,,"Sioux Falls, SD",0,6/29/2000 12:00:00 AM -04:00,2000-57,1/29/2001 12:00:00 AM -05:00,2001-18,AA-EC-00-35
United Credit National Bank,Sioux Falls,South Dakota,SD,2000,2,1,20001,2001,1,1,20011,Cease & Desist Orders,23116,,,"Sioux Falls, SD",0,2/25/2000 12:00:00 AM -05:00,2000-18,1/29/2001 12:00:00 AM -05:00,2001-18,AA-EC-00-04
"United Fidelity Bank, F.S.B.",Evansville,Indiana,IN,2010,8,3,20103,2013,8,3,20133,Formal Agreements,703676,,,"Evansville, IN",0,8/13/2010 12:00:00 AM -04:00,SA,8/5/2013 12:00:00 AM -04:00,2013-152,
United Mercantile Bank And Trust,Pasadena,California,CA,1991,1,1,19911,,,,,Bank Civil Money Penalties,17301,,,"Pasadena, CA",3300,1/22/1991 12:00:00 AM -05:00,1006,,,AA-EC-91-07
United Mercantile Bank And Trust Company,Pasadena,California,CA,1990,2,1,19901,1992,3,1,19921,Cease & Desist Orders,17301,,,"Pasadena, CA",0,2/28/1990 12:00:00 AM -05:00,511,3/20/1992 12:00:00 AM -05:00,,
United Midwest Savings Bank,Degraff,Ohio,OH,2010,4,2,20102,2015,4,2,20152,Cease & Desist Orders,708266,,,"Degraff, OH",0,4/7/2010 12:00:00 AM -04:00,CN 10-17,4/8/2015 12:00:00 AM -04:00,2015-043,
"United Missouri Bank Of Kansas City, N.A.",Kansas City,Missouri,MO,1992,1,1,19921,,,,,Bank Civil Money Penalties,13936,,,"Kansas City, MO",50000,1/17/1992 12:00:00 AM -05:00,988,,,AA-SCP-92-04
