INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"First Community Bank, N.A.",Alice,Texas,TX,1991,1,1,19911,1993,12,4,19934,Formal Agreements,17619,,,"Alice, TX",0,1/22/1991 12:00:00 AM -05:00,159,12/3/1993 12:00:00 AM -05:00,93-320,
"First Community Bank, National Association",Lexington,South Carolina,SC,2010,4,2,20102,2012,6,2,20122,Formal Agreements,22808,,,"Lexington, SC",0,4/6/2010 12:00:00 AM -04:00,2010-081,6/28/2012 12:00:00 AM -04:00,2012-180,
"First Community Bank, National Association",San Benito,Texas,TX,2010,3,1,20101,2012,7,3,20123,Formal Agreements,16809,,,"San Benito, TX",0,3/23/2010 12:00:00 AM -04:00,2010-062,7/13/2012 12:00:00 AM -04:00,2012-181,
"First Community Bank, National Association",Sugar Land,Texas,TX,2009,11,4,20094,2012,11,4,20124,Cease & Desist Orders,20218,,,"Sugar Land, TX",0,11/19/2009 12:00:00 AM -05:00,2009-191,11/29/2012 12:00:00 AM -05:00,2012-260,
First Community National Bank,Cuba,Missouri,MO,2016,1,1,20161,,,,,Formal Agreements,17694,,,"Cuba, MO",0,1/20/2016 12:00:00 AM -05:00,2016-022,,,
First Consumers National Bank,Beaverton,Oregon,OR,2003,7,3,20033,2005,11,4,20054,Formal Agreements,21688,,,"Beaverton, OR",0,7/31/2003 12:00:00 AM -04:00,2003-100,11/29/2005 12:00:00 AM -05:00,,
First Consumers National Bank,Beaverton,Oregon,OR,2003,4,2,20032,2005,11,4,20054,Cease & Desist Orders,21688,,,"Beaverton, OR",0,4/15/2003 12:00:00 AM -04:00,2003-39,11/29/2005 12:00:00 AM -05:00,,AA-EC-2003-08
First Consumers National Bank,Beaverton,Oregon,OR,2002,5,2,20022,2005,11,4,20054,Cease & Desist Orders,21688,,,"Beaverton, OR",0,5/15/2002 12:00:00 AM -04:00,2002-40,11/29/2005 12:00:00 AM -05:00,,AA-EC-02-04
First Data Corporation,Paramus,New Jersey,NJ,1999,3,1,19991,,,,,Formal Agreements,600396,First Data Corporation,,"Paramus, NJ",0,3/30/1999 12:00:00 AM -05:00,99-128,,,
First East Side Savings Bank,Tamarac,Florida,FL,2010,5,2,20102,2012,10,4,20124,Cease & Desist Orders,717932,,,"Tamarac, FL",0,5/20/2010 12:00:00 AM -04:00,SE 10-023,10/19/2012 12:00:00 AM -04:00,,
