"INSTITUTION","EACITY","EASTATE","EASTATECODE","EASTARTYEAR","EATERMINATIONYEAR","EATYPE","DSANCTION"
"The Putnam County National Bank of Carmel","Carmel","New York","NY",2006,2007,"Formal Agreements",1
"The Putnam County National Bank of Carmel","Carmel","New York","NY",2012,2016,"Formal Agreements",1
"The Ramsey National Bank And Trust Co. Of Devils Lake","Devils Lake","North Dakota","ND",1992,1994,"Formal Agreements",1
"The Rappahannock National Bank Of Washington","Washington","Virginia","VA",1990,1992,"Cease & Desist Orders",1
"The Ripley National Bank","Ripley","Ohio","OH",2004,2005,"Cease & Desist Orders",1
"The Rushville National Bank","Rushville","Indiana","IN",1991,1992,"Cease & Desist Orders",1
"The Savannah Bank National Association","Savannah","Georgia","GA",2011,,"Formal Agreements",1
"The Shattuck National Bank","Shattuck","Oklahoma","OK",2009,2010,"Formal Agreements",1
"The Slocomb National Bank","Slocomb","Alabama","AL",2010,2012,"Formal Agreements",1
"The Somerville National Bank","Somerville","Ohio","OH",2003,2005,"Formal Agreements",1
"The State National Bank Of Garfield","Garfield","Washington","WA",1995,1997,"Cease & Desist Orders",1
"The State National Bank of Garfield","Garfield","Washington","WA",2001,2002,"Formal Agreements",1
"The State National Bank of Heavener","Heavener","Oklahoma","OK",1999,2000,"Formal Agreements",1
"The Suffolk County National Bank of Riverhead","Riverhead","New York","NY",2010,2013,"Formal Agreements",1
"The Summit National Bank","Atlanta","Georgia","GA",2006,2007,"Cease & Desist Orders",1
"The University National Bank of Lawrence","Lawrence","Kansas","KS",2009,2013,"Formal Agreements",1
"The White Hall National Bank","White Hall","Illinois","IL",2001,2003,"Formal Agreements",1
"Theodore Roosevelt National Bank","Washington","District of Columbia","DC",1991,1992,"Cease & Desist Orders",1
"TIAA-CREF  Trust Company FSB","St. Louis","Missouri","MO",2013,2015,"Cease & Desist Orders",1
"Tomatobank, National Association","Diamond Bar","California","CA",2008,2013,"Cease & Desist Orders",1
"Town-Country National Bank","Camden","Alabama","AL",2004,2006,"Formal Agreements",1
"Traders National Bank","Tullahoma","Tennessee","TN",2011,2013,"Formal Agreements",1
"Trans Pacific National Bank","San Francisco","California","CA",1992,1994,"Formal Agreements",1
"Trans Pacific National Bank","San Francisco","California","CA",2010,2014,"Cease & Desist Orders",1
"TransAlliance Joint Venture (EDS)","Bellevue","Washington","WA",1999,,"Formal Agreements",1
"Treasury Bank, Llc","Washington","District of Columbia","DC",1999,2001,"Formal Agreements",1
"Tri-County National Bank","Corbin","Kentucky","KY",1992,1993,"Formal Agreements",1
"Triad Bank, National Association","Tulsa","Oklahoma","OK",1992,1994,"Cease & Desist Orders",1
"Trustco Bank","Glenville","New York","NY",2015,,"Formal Agreements",1
"Trustco Bank, National Association","Town of Glenville (Scotia)","New York","NY",2002,2002,"Formal Agreements",1
"Trustmark National Bank","Jackson","Mississippi","MS",1991,1993,"Formal Agreements",1
"Tulsa National Bank","Tulsa","Oklahoma","OK",2012,2012,"Formal Agreements",1
"Tupper Lake National Bank","Tupper Lake","New York","NY",1992,1993,"Formal Agreements",1
"Turtle Creek National Bank","Dallas","Texas","TX",1991,1993,"Formal Agreements",1
"Tuscola National Bank","Tuscola","Illinois","IL",2002,2005,"Formal Agreements",1
"U.S. National Bank Of Clayton","St. Louis","Missouri","MO",1990,1994,"Formal Agreements",1
"UBS Ag","New York","New York","NY",2017,,"Formal Agreements",1
"UBS AG Stamford Br","Stamford","Connecticut","CT",2017,,"Cease & Desist Orders",1
"UMB Bank, National Association","Kansas City","Missouri","MO",2017,,"Cease & Desist Orders",1
"Union Bank Of Arizona, Na","Gilbert","Arizona","AZ",2001,2004,"Formal Agreements",1
"Union Bank of Arizona, National Association","Gilbert","Arizona","AZ",2002,2004,"Cease & Desist Orders",1
"Union Bank of California, National Association","San Francisco","California","CA",2007,2008,"Cease & Desist Orders",1
"Union Bank, National Association","Gilbert","Arizona","AZ",2008,2009,"Cease & Desist Orders",1
"Union Chelsea National Bank","New York","New York","NY",1991,1994,"Formal Agreements",1
"Union National Bank","Elgin","Illinois","IL",2010,2016,"Cease & Desist Orders",1
"Union National Bank","Albany","New York","NY",1990,1992,"Formal Agreements",1
"Union National Community Bank","Lancaster","Pennsylvania","PA",2009,2011,"Formal Agreements",1
"United Americas Bank, National Association","Atlanta","Georgia","GA",2005,2005,"Cease & Desist Orders",1
"United Americas Bank, National Association","Atlanta","Georgia","GA",2010,2010,"Cease & Desist Orders",1
"United Arizona Bank, National Association","Cave Creek","Arizona","AZ",2003,2005,"Formal Agreements",1
"United Bank For Africa, Plc","New York","New York","NY",1994,1995,"Formal Agreements",1
"United Bank Of Absarokee, National Association","Absarokee","Montana","MT",1992,1993,"Formal Agreements",1
"United Bank, National Association","Lancaster","Texas","TX",1992,1993,"Cease & Desist Orders",1
"United Banks, National Association","Absarokee","Montana","MT",2008,2011,"Formal Agreements",1
"United Citizens National Bank","Los Angeles","California","CA",1993,1996,"Formal Agreements",1
"United Community Bank, National Association","Highland Village","Texas","TX",2009,2012,"Formal Agreements",1
"United Fidelity Bank, F.S.B.","Evansville","Indiana","IN",2010,2013,"Formal Agreements",1
"United Mercantile Bank And Trust Company","Pasadena","California","CA",1990,1992,"Cease & Desist Orders",1
"United Midwest Savings Bank","Degraff","Ohio","OH",2010,2015,"Cease & Desist Orders",1
"United Missouri Bank Of Kansas City, National Association","Kansas City","Missouri","MO",1992,1997,"Securities Enforcement Actions",1
"United National Bank","Monterey Park","California","CA",1993,1997,"Formal Agreements",1
"United National Bank","San Marino","California","CA",2005,2005,"Cease & Desist Orders",1
"United National Bank","Fayetteville","North Carolina","NC",1993,1996,"Formal Agreements",1
"United Trust Bank","Palos Heights","Illinois","IL",2012,,"Cease & Desist Orders",1
"Unity National Bank Of Houston","Houston","Texas","TX",1991,1993,"Formal Agreements",1
"Unity National Bank of Houston","Houston","Texas","TX",2003,2007,"Formal Agreements",1
"Universal National Bank","Miami","Florida","FL",1991,1994,"Formal Agreements",1
"University Bank, National Association","Newton","Massachusetts","MA",1991,1991,"Cease & Desist Orders",1
"University National Bank","Pittsburg","Kansas","KS",2009,2009,"Formal Agreements",1
"University National Bank","Milwaukee","Wisconsin","WI",1991,1993,"Formal Agreements",1
"Urban National Bank","Franklin Lakes","New Jersey","NJ",1992,1994,"Formal Agreements",1
"Urban Trust Bank","Lake Mary","Florida","FL",2012,2013,"Formal Agreements",1
"Uvalde National Bank","Uvalde","Texas","TX",2009,2012,"Formal Agreements",1
"Valley Bank (National Association)","Elk Point","South Dakota","SD",2002,2004,"Cease & Desist Orders",1
"Valley Capital Bank, National Association","Mesa","Arizona","AZ",2008,2009,"Cease & Desist Orders",1
"Valley National Bank","Espanola","New Mexico","NM",1991,1994,"Formal Agreements",1
"Valley National Bank","Tulsa","Oklahoma","OK",2010,2013,"Formal Agreements",1
"Valley National Bank of Arizona, The","Phoenix","Arizona","AZ",1992,,"Securities Enforcement Actions",1
"Valley National Bank Of Cortez","Cortez","Colorado","CO",1991,1994,"Cease & Desist Orders",1
"Valley National Bank Of Fremont County","Hamburg","Iowa","IA",1992,1993,"Cease & Desist Orders",1
"Vartan National Bank","Harrisburg","Pennsylvania","PA",2006,2009,"Formal Agreements",1
"Village Green National Bank","Houston","Texas","TX",1989,1991,"Cease & Desist Orders",1
"Vineyard Bank, National Association","Rancho Cucamonga","California","CA",2008,2009,"Cease & Desist Orders",1
"Vineyard National Bank","Rancho Cucamonga","California","CA",1993,1994,"Formal Agreements",1
"Vineyard National Bank","Rancho Cucamonga","California","CA",1996,1998,"Formal Agreements",1
"Vinings Bank And Trust, National Association","Atlanta","Georgia","GA",1992,1994,"Cease & Desist Orders",1
"Wachovia Bank Of North Carolina, National Association","Winston-Salem","North Carolina","NC",1992,1997,"Securities Enforcement Actions",1
"Warsaw FS & LA","Cincinnati","Ohio","OH",2015,,"Formal Agreements",1
"Washington County National Bank","Williamsport","Maryland","MD",1993,1996,"Formal Agreements",1
"Westbury Bank","West Bend","Wisconsin","WI",2012,2013,"Formal Agreements",1
"Western American National Bank","Bedford","Texas","TX",1998,2000,"Prompt Corrective Action Directives",1
"Western National Bank","Lenexa","Kansas","KS",2004,2006,"Formal Agreements",1
"Western National Bank","Cass Lake","Minnesota","MN",2010,2012,"Formal Agreements",1
"Western National Bank","Amarillo","Texas","TX",1992,1993,"Cease & Desist Orders",1
"Western National Bank Of Colorado Springs","Colorado Springs","Colorado","CO",1991,1992,"Formal Agreements",1
"Western Security Bank, National Association","Burbank","California","CA",1992,1993,"Cease & Desist Orders",1
"Western Springs National Bank And Trust","Western Springs","Illinois","IL",1992,1995,"Formal Agreements",1
"Western United National Bank","Los Angeles","California","CA",1993,1993,"Cease & Desist Orders",1
"Westfield Bank","Westfield","Massachusetts","MA",2011,2012,"Cease & Desist Orders",1
"Wheeling National Bank","Wheeling","West Virginia","WV",1992,1993,"Formal Agreements",1
"White Hall National Bank","White Hall","Illinois","IL",2000,2003,"Formal Agreements",1
"Whitney National Bank","New Orleans","Louisiana","LA",2010,2011,"Cease & Desist Orders",1
"Wilber National Bank","Oneonta","New York","NY",2010,2011,"Formal Agreements",1
"Williamsburg First National Bank","Kingstree","South Carolina","SC",2009,2010,"Formal Agreements",1
"Williamsburg National Bank","Williamsburg","Kentucky","KY",1991,1994,"Formal Agreements",1
"Wing Lung Bank Limited","Alhambra","California","CA",2005,2007,"Cease & Desist Orders",1
"Winona National Bank","Winona","Minnesota","MN",2010,2013,"Formal Agreements",1
"Woburn National Bank","Woburn","Massachusetts","MA",1992,1994,"Formal Agreements",1
"Wood County National Bank","Quitman","Texas","TX",1992,1993,"Cease & Desist Orders",1
"Woodforest National Bank","The Woodlands","Texas","TX",2010,2012,"Formal Agreements",1
"Woodlands National Bank","Hinckley","Minnesota","MN",2011,2012,"Formal Agreements",1
"World Trade Bank, National Association","Beverly Hills","California","CA",1992,1995,"Cease & Desist Orders",1
"Worthington Federal Bank","Huntsville","Alabama","AL",2012,2016,"Cease & Desist Orders",1
"Yampa Valley National Bank","Hayden","Colorado","CO",1998,1999,"Formal Agreements",1
"Yardville National Bank","Mercerville","New Jersey","NJ",1991,1993,"Formal Agreements",1
"Yardville National Bank","Yardville","New Jersey","NJ",2005,2007,"Formal Agreements",1
"Americana National Bank","Albert Lea","Minnesota","MN",2003,2005,"Cease & Desist Orders",1
"Arab Bank PLC","New York","New York","NY",2005,,"Cease & Desist Orders",1
"Armed Forces Bank, National Association","Ft. Leavenworth","Kansas","KS",2010,2015,"Cease & Desist Orders",1
"Atlantic Coast Bank","Jacksonville","Florida","FL",2010,2015,"Cease & Desist Orders",1
"Aurora Bank FSB","Littleton","Colorado","CO",2011,2013,"Cease & Desist Orders",1
"Banco Economico S.A.","New York","New York","NY",1995,2000,"Cease & Desist Orders",1
"Bank 360","Beresford","South Dakota","SD",2010,,"Cease & Desist Orders",1
"Bank of China","Los Angeles","California","CA",2002,2009,"Cease & Desist Orders",1
"Bank of China","New York","New York","NY",2002,2009,"Cease & Desist Orders",1
"Barbary Coast National Bank","San Francisco","California","CA",1992,1994,"Formal Agreements",1
"Baybank Connecticut,, National Association","Hartford","Connecticut","CT",1991,1994,"Formal Agreements",1
"Ben Franklin Bank of Illinois","Arlington Heights","Illinois","IL",2012,,"Cease & Desist Orders",1
"Bmo Harris Bank National Association","Chicago","Illinois","IL",2013,2017,"Formal Agreements",1
"Broad National Bank","Newark","New Jersey","NJ",1991,1993,"Formal Agreements",1
"Broadway Federal Bank, F.S.B.","Los Angeles","California","CA",2010,2015,"Cease & Desist Orders",1
"California National Bank","San Francisco","California","CA",1991,2009,"Cease & Desist Orders",1
"Capital One Bank (USA), National Association","Glen Allen","Virginia","VA",2012,2014,"Cease & Desist Orders",1
"Capitol National Bank","Lansing","Michigan","MI",2009,,"Cease & Desist Orders",1
"Central Coast National Bank","Arroyo Grande","California","CA",1992,1995,"Formal Agreements",1
"Centrust Bank, National Association","Northbrook","Illinois","IL",2009,2011,"Formal Agreements",1
"Centrust Bank, National Association","Northbrook","Illinois","IL",2012,,"Cease & Desist Orders",1
"Chase Bank USA, National Association","Wilmington","Delaware","DE",2013,,"Cease & Desist Orders",1
"Citic Ka Wah Bank Limited","New York","New York","NY",1992,1995,"Formal Agreements",1
"City National Bank Of West Virginia","Charleston","West Virginia","WV",2000,2002,"Formal Agreements",1
"Colombo Bank","Rockville","Maryland","MD",2009,,"Cease & Desist Orders",1
"Commerce Bank Of Kansas City","Kansas City","Missouri","MO",1992,1997,"Securities Enforcement Actions",1
"Community First Bank, National Association","Reynoldsville","Pennsylvania","PA",2002,2009,"Formal Agreements",1
"Community National Bank","Waterloo","Iowa","IA",2008,2011,"Formal Agreements",1
"Cornerstonebank","Atlanta","Georgia","GA",2010,,"Cease & Desist Orders",1
"Diamond Bank, FSB","Schaumburg","Illinois","IL",2010,2014,"Cease & Desist Orders",1
"Dillard National Bank","Gilbert","Arizona","AZ",2003,2004,"Formal Agreements",1
"Eastern Savings Bank, FSB","Hunt Valley","Maryland","MD",2009,,"Cease & Desist Orders",1
"Everbank","Jacksonville","Florida","FL",2011,2016,"Cease & Desist Orders",1
"Excel Bank, National Association","New York","New York","NY",2002,2005,"Formal Agreements",1
"F&M Bank and Trust Company","Hannibal","Missouri","MO",2012,2016,"Cease & Desist Orders",1
"Fidelity Bank of Florida, National Association","Merritt Island","Florida","FL",2009,2016,"Cease & Desist Orders",1
"Fidelity National Bank","Medford","Wisconsin","WI",2005,2008,"Formal Agreements",1
"First American Bank Of Gorgia, National Association","Atlanta","Georgia","GA",1991,1993,"Cease & Desist Orders",1
"First Federal Bank","Lexington","Kentucky","KY",2011,2013,"Cease & Desist Orders",1
"First FS & LA of Kewanee","Kewanee","Illinois","IL",2010,2014,"Formal Agreements",1
"First Liberty National Bank","Washington","District of Columbia","DC",1991,1994,"Formal Agreements",1
"First National Bank","Hays","Kansas","KS",2008,,"Formal Agreements",1
"First National Bank","Chisholm","Minnesota","MN",2008,2010,"Formal Agreements",1
"First National Bank","Edinburg","Texas","TX",2011,2013,"Cease & Desist Orders",1
"First National Bank & Trust Company","Nowata","Oklahoma","OK",2000,2002,"Formal Agreements",1
"First National Bank and Trust","London","Kentucky","KY",2004,2007,"Formal Agreements",1
"First National Bank In Garretson","Garretson","South Dakota","SD",1991,1995,"Formal Agreements",1
"First National Bank in Howell","Howell","Michigan","MI",2008,2015,"Cease & Desist Orders",1
"First National Bank In Las Vegas","Las Vegas","New Mexico","NM",1991,1995,"Cease & Desist Orders",1
"First National Bank In Pawhuska","Pawhuska","Oklahoma","OK",1997,2001,"Formal Agreements",1
"First National Bank Of Amenia","Amenia","New York","NY",1992,1994,"Formal Agreements",1
"First National Bank Of Bonham","Bonham","Texas","TX",1990,1992,"Cease & Desist Orders",1
"First National Bank of Boston, The","Boston","Massachusetts","MA",1990,,"Securities Enforcement Actions",1
"First National Bank of Cass Lake, The","Cass Lake","Minnesota","MN",2000,2002,"Formal Agreements",1
"First National Bank of Chester County","West Chester","Pennsylvania","PA",2009,2010,"Formal Agreements",1
"First National Bank Of Jefferson Parish","Gretna","Louisiana","LA",1991,1994,"Formal Agreements",1
"First National Bank Of Marin","San Rafael","California","CA",1992,1999,"Cease & Desist Orders",1
"First National Bank of Marin","Las Vegas","Nevada","NV",2001,2009,"Cease & Desist Orders",1
"First National Bank Of Rotan","Rotan","Texas","TX",1998,2000,"Formal Agreements",1
"First National Bank of Sumner, The","Sumner","Illinois","IL",2001,2004,"Cease & Desist Orders",1
"First National Bank Of Vicksburg","Vicksburg","Mississippi","MS",1994,1997,"Cease & Desist Orders",1
"First National Bank of White Sulphur Springs, The","White Sulphur Springs","Montana","MT",1991,1994,"Cease & Desist Orders",1
"First Suburban National Bank","Maywood","Illinois","IL",1999,2003,"Formal Agreements",1
"Fort Lee Federal Savings Bank, FSB","Fort Lee","New Jersey","NJ",2014,2016,"Notices Filed",1
"Frontier Bank","Rock Rapids","Iowa","IA",2010,2012,"Cease & Desist Orders",1
"Gateway Bank, F.S.B.","San Francisco","California","CA",2009,,"Cease & Desist Orders",1
"Gateway National Bank of St. Louis","St. Louis","Missouri","MO",2000,2003,"Formal Agreements",1
"Gibraltar Private Bank & Trust Co.","Coral Gables","Florida","FL",2010,2017,"Cease & Desist Orders",1
"Gold Country National Bank","Brownsville","California","CA",2000,2002,"Formal Agreements",1
"Granite National Bank","Bowling Green","Ohio","OH",2000,2003,"Cease & Desist Orders",1
"Greenchoice Bank, FSB","Chicago","Illinois","IL",2009,2014,"Cease & Desist Orders",1
"Hiawatha National Bank","Hager City","Wisconsin","WI",2002,2009,"Formal Agreements",1
"High Desert Bank","Bend","Oregon","OR",2009,,"Cease & Desist Orders",1
"Home Federal Bank of Hollywood","Hallandale Beach","Florida","FL",2010,2016,"Cease & Desist Orders",1
"Home Loan Investment Bank, F.S.B.","Warwick","Rhode Island","RI",2009,,"Cease & Desist Orders",1
"Hometown Bank of The Hudson Valley","Walden","New York","NY",2013,,"Formal Agreements",1
"Hopkins Federal Savings Bank","Baltimore","Maryland","MD",2011,,"Formal Agreements",1
"Independence Federal Savings Bank","Washington","District of Columbia","DC",2009,2013,"Cease & Desist Orders",1
"Industrial Bank, National Association","Oxon Hill","Maryland","MD",1998,2006,"Formal Agreements",1
"Jefferson National Bank","Watertown","New York","NY",1992,1993,"Cease & Desist Orders",1
"JPMorgan Bank and Trust Company, National Association","San Francisco","California","CA",2013,,"Cease & Desist Orders",1
"Liberty Savings Bank, F.S.B.","Pottsville","Pennsylvania","PA",2010,2014,"Cease & Desist Orders",1
"Liberty Savings Bank, FSB","Whiting","Indiana","IN",2010,2015,"Cease & Desist Orders",1
"Liberty Savings Bank, FSB","Wilmington","Ohio","OH",2009,2013,"Cease & Desist Orders",1
"Los Alamos National Bank","Los Alamos","New Mexico","NM",2010,,"Formal Agreements",1
"Malvern Federal Savings Bank","Paoli","Pennsylvania","PA",2010,2016,"Formal Agreements",1
"Marathon National Bank","Los Angeles","California","CA",1992,1994,"Formal Agreements",1
"Mercantile National Bank","Los Angeles","California","CA",1991,1997,"Formal Agreements",1
"Metrobank of Philadelphia National Association","Philadelphia","Pennsylvania","PA",1991,1996,"Formal Agreements",1
"Midlantic National Bank","Newark","New Jersey","NJ",1990,1994,"Formal Agreements",1
"Midlantic National Bank/North","West Patterson","New Jersey","NJ",1990,1991,"Formal Agreements",1
"Monadnock Community Bank","Peterborough","New Hampshire","NH",2010,2013,"Cease & Desist Orders",1
"National Bank of California","Los Angeles","California","CA",2009,2016,"Cease & Desist Orders",1
"National State Bank","Elizabeth","New Jersey","NJ",1991,1994,"Cease & Desist Orders",1
"NBC Bank - Eagle Pass, National Association","Eagle Pass","Texas","TX",1991,1993,"Formal Agreements",1
"Neighborhood National Bank","San Diego","California","CA",2010,,"Cease & Desist Orders",1
"New York National Bank","Bronx","New York","NY",2004,2006,"Cease & Desist Orders",1
"Ocala National Bank","Ocala","Florida","FL",1997,2001,"Formal Agreements",1
"Olmsted National Bank","Rochester","Minnesota","MN",2007,2014,"Formal Agreements",1
"Pacific Capital Bank, National Association","Santa Barbara","California","CA",2010,2011,"Cease & Desist Orders",1
"Pacific National Bank","Miami","Florida","FL",1999,2003,"Formal Agreements",1
"Pacific National Bank","Miami","Florida","FL",2005,2015,"Cease & Desist Orders",1
"Peoples National Bank of Commerce","Miami","Florida","FL",1997,1999,"Cease & Desist Orders",1
"PNC Bank, National Association","Wilmington","Delaware","DE",2011,2016,"Cease & Desist Orders",1
"Polonia Bank","Huntingdon Valley","Pennsylvania","PA",2014,,"Formal Agreements",1
"Priority Bank","Ozark","Arkansas","AR",2012,2013,"Notices Filed",1
"Rbs Citizens, National Association","Providence","Rhode Island","RI",2013,2017,"Cease & Desist Orders",1
"Riggs Bank National Association","Mclean","Virginia","VA",2003,2005,"Cease & Desist Orders",1
"Rio National Bank","McAllen","Texas","TX",1998,2002,"Formal Agreements",1
"Ripley Federal Savings Bank","Ripley","Ohio","OH",2009,2013,"Cease & Desist Orders",1
"Santander Bank, National Association","Wilmington","Delaware","DE",2015,,"Cease & Desist Orders",1
"Security National Bank Of Superior","Superior","Nebraska","NE",1993,1998,"Formal Agreements",1
"Security Trust Company, National Association","Phoenix","Arizona","AZ",2003,2004,"Cease & Desist Orders",1
"Sequoia National Bank","San Francisco","California","CA",1992,1998,"Cease & Desist Orders",1
"Solera National Bank","Lakewood","Colorado","CO",2010,2012,"Cease & Desist Orders",1
"South Side National Bank In St. Louis","St. Louis","Missouri","MO",1991,1995,"Formal Agreements",1
"Southbank, A Federal Savings Bank","Huntsville","Alabama","AL",2009,2016,"Cease & Desist Orders",1
"Southwest National Bank","Albuquerque","New Mexico","NM",1990,1991,"Cease & Desist Orders",1
"Sovereign Bank","Wilmington","Delaware","DE",2011,2016,"Cease & Desist Orders",1
"Steel Valley Bank, National Association","Dillonvale","Ohio","OH",2002,2005,"Formal Agreements",1
"Superior Bank","Birmingham","Alabama","AL",2016,,"Notices Filed",1
"Surety Bank, National Association","Hurst","Texas","TX",1998,2003,"Formal Agreements",1
"T Bank, National Association","Dallas","Texas","TX",2008,2014,"Formal Agreements",1
"Terrabank National Association","Miami","Florida","FL",2005,2010,"Cease & Desist Orders",1
"The Boatmen's National Bank Of St. Louis","St. Louis","Missouri","MO",1992,1997,"Securities Enforcement Actions",1
"The Bradford National Bank","Bradford","Vermont","VT",1991,1992,"Cease & Desist Orders",1
"The Caledonia National Bank Of Danville","Danville","Vermont","VT",1991,1992,"Cease & Desist Orders",1
"The Community National Bank","Franklin","Ohio","OH",2007,2009,"Formal Agreements",1
"The Farmers National Bank Of Forney","Forney","Texas","TX",1991,1996,"Cease & Desist Orders",1
"The First National Bank - Fox Valley","Neenah","Wisconsin","WI",2006,2008,"Formal Agreements",1
"The First National Bank of Bayard","Bayard","Nebraska","NE",1993,1998,"Formal Agreements",1
"The First National Bank of Berlin","Berlin","Wisconsin","WI",2007,2009,"Formal Agreements",1
"The First National Bank of Brewster","Brewster","Minnesota","MN",2005,2007,"Cease & Desist Orders",1
"The First National Bank Of Cushing","Cushing","Texas","TX",1990,1992,"Cease & Desist Orders",1
"The First National Bank of Florida","Milton","Florida","FL",2000,2003,"Formal Agreements",1
"The First National Bank of Germantown","Germantown","Ohio","OH",2001,2004,"Cease & Desist Orders",1
"The First National Bank of Layton","Layton","Utah","UT",2008,2014,"Formal Agreements",1
"The First National Bank of Logan","Logan","Iowa","IA",2008,2010,"Cease & Desist Orders",1
"The First National Bank of New Holland","New Holland","Ohio","OH",2005,2008,"Cease & Desist Orders",1
"The First National Bank Of Sterling","Sterling","Kansas","KS",1990,1994,"Cease & Desist Orders",1
"The Lake Bank, National Association","Two Harbors","Minnesota","MN",2002,2005,"Cease & Desist Orders",1
"The Laredo National Bank","Laredo","Texas","TX",2005,2007,"Formal Agreements",1
"The National Bank of Harvey","Harvey","North Dakota","ND",2009,,"Formal Agreements",1
"The National Bank of North East","North East","Pennsylvania","PA",2003,2005,"Formal Agreements",1
"The National Republic Bank Of Chicago","Chicago","Illinois","IL",1992,1996,"Cease & Desist Orders",1
"The Upstate National Bank","Lisbon","New York","NY",2002,2006,"Cease & Desist Orders",1
"The Upstate National Bank","Lisbon","New York","NY",2008,2014,"Cease & Desist Orders",1
"U.S. Bank National Association","Cincinnati","Ohio","OH",2011,,"Cease & Desist Orders",1
"U.S. Bank National Association ND","Fargo","North Dakota","ND",2011,2013,"Cease & Desist Orders",1
"United Americas Bank, National Association","Atlanta","Georgia","GA",2015,,"Notices Filed",1
"United Bank","Springdale","Arkansas","AR",2010,2013,"Cease & Desist Orders",1
"United Bank For Africa PLC","New York","New York","NY",2007,2016,"Cease & Desist Orders",1
"United Credit National Bank","Sioux Falls","South Dakota","SD",2000,2001,"Cease & Desist Orders",1
"Universal Bank","West Covina","California","CA",2010,2014,"Cease & Desist Orders",1
"Valley Capital Bank, National Association","Mesa","Arizona","AZ",2011,,"Notices Filed",1
"Ventura County National Bank","Oxnard","California","CA",1993,1995,"Formal Agreements",1
"Washington State Bank, National Association","Federal Way","Washington","WA",2002,2006,"Formal Agreements",1
"Wawel Bank","Wallington","New Jersey","NJ",2010,,"Cease & Desist Orders",1
"Western American National Bank","Bedford","Texas","TX",1991,1993,"Formal Agreements",1
"Western Family National Bank","Carlsbad","California","CA",1993,1994,"Cease & Desist Orders",1
"Wilshire Center Bank, National Association","Los Angeles","California","CA",1989,1993,"Cease & Desist Orders",1
"Zapata National Bank","Zapata","Texas","TX",1990,1995,"Cease & Desist Orders",1
"1st National Bank","Lebanon","Ohio","OH",2009,,"Bank Civil Money Penalties",1
"Amarillo National Bank","Amarillo","Texas","TX",2013,,"Bank Civil Money Penalties",1
"Amcore Bank, National Association","Rockford","Illinois","IL",2003,,"Bank Civil Money Penalties",1
"Amcore Bank, National Association, Rock River Valley","Dixon","Illinois","IL",1997,,"Bank Civil Money Penalties",1
"Amcore Bank, National Association, Rockford","South Beloit","Illinois","IL",1997,,"Bank Civil Money Penalties",1
"American National Bank","Omaha","Nebraska","NE",2010,,"Bank Civil Money Penalties",1
"American National Bank & Trust Company","ST. PAUL","Minnesota","MN",1992,,"Bank Civil Money Penalties",1
"American National Bank Of Arizona","Scottsdale","Arkansas","AR",1990,,"Bank Civil Money Penalties",1
"American National Bank of Dekalb, The","DeKalb","Illinois","IL",1991,,"Bank Civil Money Penalties",1
"American National Bank Of New York","Fleischmanns","New York","NY",1990,,"Bank Civil Money Penalties",1
"Associated Bank, National Association","Green Bay","Wisconsin","WI",2007,,"Bank Civil Money Penalties",1
"Banco Do Estado Do Parana","New York","New York","NY",2000,,"Bank Civil Money Penalties",1
"Banco Pedroso, National Association","Coral Gables","Florida","FL",1990,,"Bank Civil Money Penalties",1
"Bank Of America Nw, National Association","Seattle","Washington","WA",1994,,"Bank Civil Money Penalties",1
"Bank Of America, National Trust And Savings Association","San Francisco","California","CA",1992,,"Bank Civil Money Penalties",1
"Bank of New York Trust Company of Florida, National Association, The","Miami","Florida","FL",1990,,"Bank Civil Money Penalties",1
"Bank One, West Virginia, Williamson, N. A.","Williamson","West Virginia","WV",1994,,"Bank Civil Money Penalties",1
"Bankers Trust Of California, National Association","Los Angeles","California","CA",1991,,"Bank Civil Money Penalties",1
"Bedford National Bank","Bedford","Texas","TX",1989,,"Bank Civil Money Penalties",1
"Beneficial National Bank","Wilmington","Delaware","DE",1990,,"Bank Civil Money Penalties",1
"Boatmen's National Bank Of Des Moines","Des Moines","Iowa","IA",1992,,"Bank Civil Money Penalties",1
"Capital One, National Association","Mclean","Virginia","VA",2009,,"Bank Civil Money Penalties",1
"Charter One Bank, National Association","Cleveland","Ohio","OH",2005,,"Bank Civil Money Penalties",1
"Citicorp Trust, National Association","Los Angeles","California","CA",1989,,"Bank Civil Money Penalties",1
"Citizens Community Federal National Association","Altoona","Wisconsin","WI",2014,,"Bank Civil Money Penalties",1
"City National Bank","Los Angeles","California","CA",2010,,"Bank Civil Money Penalties",1
"City National Bank and Trust Company of Guymon, The","Guymon","Oklahoma","OK",1992,,"Bank Civil Money Penalties",1
"CNB National Bank","Lake City","Florida","FL",2004,,"Bank Civil Money Penalties",1
"Colonial Savings, Fa","Fort Worth","Texas","TX",2017,,"Bank Civil Money Penalties",1
"Commerce Bank, National Association","Kansas City","Missouri","MO",1992,,"Bank Civil Money Penalties",1
"Commerce National Bank","Columbus","Ohio","OH",2005,,"Bank Civil Money Penalties",1
"Consumers National Bank","Minerva","Ohio","OH",1991,,"Bank Civil Money Penalties",1
"Continental National Bank","Miami","Florida","FL",1990,,"Bank Civil Money Penalties",1
"Cortrust Bank National Association","Mitchell","South Dakota","SD",2004,,"Bank Civil Money Penalties",1
