"INSTITUTION","EACITY","EASTATE","EASTATECODE","EASTARTYEAR","EATERMINATIONYEAR","EATYPE","DSANCTION"
"Exchange National Bank of Moore","Moore","Oklahoma","OK",1992,1994,"Formal Agreements",1
"Executive National Bank","Miami","Florida","FL",2001,2003,"Formal Agreements",1
"Executive National Bank","Miami","Florida","FL",2009,2012,"Formal Agreements",1
"Executive Park National Bank","Kingsport","Tennessee","TN",1991,1993,"Formal Agreements",1
"Falcon National Bank","Laredo","Texas","TX",1992,1993,"Formal Agreements",1
"Far East National Bank","Los Angeles","California","CA",2005,2006,"Cease & Desist Orders",1
"Far East National Bank","Los Angeles","California","CA",2010,2013,"Cease & Desist Orders",1
"Farmers And Merchants National Bank","Hamilton","Virginia","VA",1993,1994,"Prompt Corrective Action Directives",1
"Farmers Bank & Trust, National Association","Great Bend","Kansas","KS",2008,2012,"Formal Agreements",1
"Farmers National Bank","Walton","Kentucky","KY",2003,2004,"Formal Agreements",1
"Farmers National Bank","Walton","Kentucky","KY",2010,,"Formal Agreements",1
"Farmers National Bank","Rule","Texas","TX",1991,1993,"Cease & Desist Orders",1
"Farmers National Bank Of Cynthiana","Cynthiana","Kentucky","KY",1992,1994,"Formal Agreements",1
"Farmers National Bank Of Griggsville","Griggsville","Illinois","IL",1991,1993,"Formal Agreements",1
"Farmers National Bank of Scottsville, The","Scottsville","Kentucky","KY",1991,1992,"Formal Agreements",1
"Federal City National Bank","Washington","District of Columbia","DC",1991,1992,"Cease & Desist Orders",1
"Fia Card Services, National Association","Wilmington","Delaware","DE",2014,2016,"Cease & Desist Orders",1
"Fidelity National Bank","West Memphis","Arkansas","AR",2011,2013,"Formal Agreements",1
"Fidelity National Bank","Norcross","Georgia","GA",1996,1998,"Formal Agreements",1
